year,name,yob,district,list_state,list_position,occupation,birthplace,party_wiki_id,party_name_short,party_name_full
2002,"Argesheimer, Horst",1961,NA,BY,25,NA,NA,Q269316,REP,Die Republikaner
2002,"Arndt, Rüdiger Gerhard",1939,NA,HB,6,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Arndt-Brauer, Ingrid",1961,125,NW,16,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Arnold, Ludger",1954,NA,HE,43,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Arnold, Rainer",1950,263,BW,26,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Arnsburg, Alexandra",1977,77,NA,NA,NA,NA,NA,Anderer KWV,NA
2002,"Arnsperger, Jost",1954,NA,HE,25,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Arslan, Bülent",1975,NA,NW,45,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Aschenberg-Dugnus, Christine",1959,4,NA,NA,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Au, Karl Heinz",1946,NA,BW,12,NA,NA,Q269316,REP,Die Republikaner
2002,"Auernhammer, Artur",1963,NA,BY,35,NA,NA,Q49763,CSU,Christlich-Soziale Union in Bayern e.V.
2002,"Augustin, Karl-Heinz",1939,NA,BE,2,NA,NA,Q34065989,Die Grauen,Die Grauen – Für alle Generationen
2002,"Aulenbacher, Christa",1941,NA,NW,5,NA,NA,Q34065989,Die Grauen,Die Grauen – Für alle Generationen
2002,"Austermann, Dietrich",1941,3,SH,1,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Axt, Norbert",1958,118,NA,NA,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Aydogan, Hidir",1948,NA,SH,10,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Baar, Harry",1939,NA,SN,3,NA,NA,Q269316,REP,Die Republikaner
2002,"Baba, Evrim",1971,83,BE,5,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Babel, Christian",1968,111,NA,NA,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Babel, Dr. Gisela",1938,NA,HE,45,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Babinsky, Winfried",1957,13,NA,NA,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Bablitzka, Peter",1955,215,NA,NA,NA,NA,NA,Anderer KWV,NA
2002,"Bachmaier, Hermann",1939,269,BW,12,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Bachmann, Beatrix",1976,NA,TH,23,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
